Product Description,Category,Uniq Id
"Sunny Isle Ylang Jamaican Black Castor Oil, 8 oz",Hair Care,c4fa57c1506c1fc7c42c853c73248dc2
"Crafted with organic aloe vera extracts, this shampoo contains proteolytic enzymes, which help repair deaskin cells on the scalp. Further it helps in restoring the sheen and volume of your hair. Direction to use: brush your hair before washing to avoidant gling. Soak your hair completely with warm water. Put a small amount of shampoo onto the palm of your hand. Massage the shampoo into the scalp with your fingertips. Rinse with fresh water. I net weight: 100 ml.",Hair Care,d14c60b116211fb6219d7d2b7e2293af
Eufora Beautifying Elixirs Bodifying Conditioner - 8.5 oz by Eufora Hair,Hair Care,cd2cf57e9280a29f4a6cc5417d28231b
"Indigo Powder:- The Indigo powder is made using the leaves of indigo plant. Indigo Natural Hair Coloring Dye without Chemical Pure Herb Powder. Since Indigo Does Not Contain PPD It Has Been Widely Used To Dye Gray Hair Black. Indigo Is A Natural Color An Also Natural Hair Conditioner. Proven To Promote Hair Growth and For Cooling Scalp. Use:- How to Use:- (Option-1) Use Indigo powder After Henna, (Option- 2) Mixed Henna One part and Two part Indigo and make paste with normal water. Keep the paste up to 2/3 hour and then apply on your hair for 2-3 hours, you will get result after 12 hours. Even this product is pure natural so Its Coloring effect will be slow. Advise: - New Applicant apply this process two times within 3/4 days. Continue apply after 10 days to 15 days for better result.",Hair Care,74ce49f475ddd0985ea41414b468be4b
"Oil has been used for thousands of years for its wide range of applications and the same is originated from INDIA. Neem has become a hot new trend in cosmetics and in DIY skincare and hair care products for its extraordinary skin nourishing and soothing properties. Being particularly rich in Omega 6 & 9 Essential Fatty Acids makes this special oil particularly suited for soothing skin and hair care. Neem Oil has a very strong smell that is an acquired smell for many, but is commonly mixed with other oils or added to skincare or hair care products, which help mask the smell while still providing the desired benefits. Neem Oil can become solid when cool or even at room temperature due to the high essential fatty acid levels of the product.",Hair Care,a62fe6e3e986f0a75f9d9ed59c4dc1a8
"This hair care spa cap is safe and convenient to use, it is a indispensable tool for nursing your hair at home. The inner embedded plastic film is waterproof and anti-electricity, and it's detachable and convenient to be washed. It is suitable for use at home, salons, spas, beauty parlors and many more places like these. The stitching is good quality and the elastic is durable. This cap is made from waterproof material and is comfortable to wear.",Hair Care,7878a7aaece563097628842451fcfe96
The history of Whoo WhooSpa Hair Essence,Hair Care,497e4d9029702a2222688c6e82729d67
"Shagun Gold Henna, Popularly Known As Mehandi Is A Hair Coloring Dimension For Coloring Hairs Brown. It Is One Of The Best Natural Remedies For Hair Growth. Henna Is A Natural Herbal Powder Which Is Not Only Used For Coloring Hair, But Also Helps To Prevent Dandruff And Scalp Itching. It Acts As A Good Conditioner For Your Hair And Helps To Grow Your Hair. This is a 100% Pure Natural Indigo Powder very useful for hair.",Hair Care,84b10c69fb27c46aae714556e5ac0b86
Marc Anthony Instantly Thick Volumizing Conditioner 12.9oz (2 Pack),Hair Care,d3680464f489490c476cd9693f419dc9
"Khadi presents henna which is suitable for women, it comes in powder form. It is recommended to store this product in a cool and dry place.",Hair Care,02df8ab44e702a5434dd35dfd7971f08
"Hair oils fulfil the wishes of people desiring long and shiny hair. Hair oils provide the required nourishment to the scalp which in turn promotes a healthy growth of hair. An oil massage once a week is enough to provide essential nutrients that hair needs, thereby preventing hair loss and alopecia. . It also helps to keep the scalp dandruff-free, acts as an anti-depressant and aids in relaxation. As it is mineral-oil free, it gives smooth and manageable hair.",Hair Care,5d476bd18c18f378b24f0ed1cbc620ad
"AYUBHUMI Hair Fertilizer Oil is provided with hand picked a scientifically proven formula that enriches the scalp for ultimate hair growth, Potentially inhibits scalp issues of Dandruff, Alopecia, Psoriasis etc that cause hair thinning & hair fall.  AYUBHUMI Hair Mask Powder Guarantees Protection Against Premature Graying Of Hair. This Product Brings A Significant Change In Hair Re-Growth With Its Stimulation In Circulation. Purely Natural Made From Fresh Crops. Adds Radiance To The Skin With Its Cleansing Benefits. It Is Rich In Amino Acids That Nourish Your Hair, Strengthen Your Roots, And Keep Your Locks Lustrous And Healthy  AYUBHUMI Shampoo Effectively cleanses, conditions & soothes the hair. Deeply nourishes the hair & scalp to prevent hair fall. It is mild yet effective in preventing scaling & flacking & increasing hair growth. Furthermore, an addition of mehndi adds natural color beside its multifold hair benefits.",Hair Care,1b7e45a885744189e357e2e173c78661
"Khadi Red Onion & Curry Leaf Shampoo with Dispenser Helps To Fight Against Hair Fall & Heavy Dandruff, Flaky Scalp Disease, Cleanses Dead Cells To Prevent Dandruff And Repairs Damaged Hairs. 

men#reebok#women#training#nike#ight#nail#neck#blouse#notice#numbers#pins#question#papers#class#cbse#beard oil for growing growth men wax comb trimmer wash color colour softener capsules serum supplements regrowth faster gel smooth and shine patchy Orgon argan & geranium best face brush moustache mustache hair nose apron accessories growth activated charcoal scrub balm butter bib man boar bristles khadi onion oil for hair red Onion shaving bigen colour stylish cream care kit shaper dye die designer tool black design tools dense dark brown essentials fiber ultra essential ocean peel off mask deep cleansing grow hood itch itching idol il improve irish increasing instant jel jojoba jacket jall jelly jal jewellery lip love lite lotion line lit mug mugs needle roller ninza ninja nourishment net sikh pil of peal products qax qraa quotes anti-hair fall anti hair fall#aloevera#sweet almond hair, ideal for rough, dull & oily hair, loss act as hair tonic re-growth multisport#court#shoes#for#men#reebok#women#training#nike#ight#nail#neck#blouse#notice#numbers#pins#question#papers#class#cbse#beard oil for growing growth men wax comb trimmer wash color colour softener serum supplements - 35 ml faster gel smooth and shine patchy Orgon argan & geranium best face brush moustache mustache hair nose apron accessories activated charcoal scrub balm butter bib man boar bristles bombay shaving company bigen colour stylish cream care kit shaper dye die designer tool black design tools dense dark brown essentials fiber ultra essential ocean peel off mask deep cleansing grow hood itch itching idol il improve irish increasing instant jel jojoba jacket jall jelly jal jewellery lip love lite lotion line lit mug mugs needle roller ninza ninja nourishment net sikh pil of peal products qax qraa quotes",Hair Care,e1bfb42a68c90ba778a4f9c5376d1d23
"In Induces Hair roots to grow , It strengtheness hair, It blackness hair & stops groying. It gives sound in the night. it cool your head.",Hair Care,2b044033daf82fafac70195d88d25661
"🍀This natural, luxuriously figured anti dandruff shampoo cleanser is the response to liberating your scalp from obstinate dandruff. It supplies the skin with dampness and stimulates recovery. Enduring adequacy against the arrangement of dandruff, parities an irritated scalp, advances mending and ensures healing.🍀",Hair Care,c826a0edacc58f29bded9204a4acda6e
"Himalaya's anti dandruff shampoo gently removes dandruff and nourishes and strengthens hair roots, ensuring a healthy scalp. Natural ingredients help moisturize the hair.",Hair Care,fbc3537fd19a582607bfdf4085132cd0
"Best Khadi Pure Herbal Rose Body Wash, Reduce dullness of Skin, maintain Moisture in skin, brightening up your skin tone, Best use for better complexion.",Hair Care,276838f6b28aa9848cfb091eb1f72c9d
Tropic Isle Living Jamaican Black Castor Oil 8 oz (Pack of 3),Hair Care,3295d8af40ce229f219ddb76172c9993
"Every drop of Nyle Naturals Advanced Shampoo is Paraben free and filled with the goodness of natural extracts of Aloe Vera, Tulsi, Amla, and Green Tea. It fights dryness, giving smooth manageable hair. The pH balance of Nyle shampoo gives you the additional damage protection. This shampoo is free from any harmful ingredients and contains the goodness of nature’s hair-care ingredients. It moisturizes dry and rough hair to makes it soft & silky. The regular usage makes hair healthy. Besides protecting your hair and scalp from going dry, it also makes them smooth and manageable.",Hair Care,120514156d6b7ea559f247c284ba17e6
A miracle to your dry hair instantly hydrates your hair. Contains different proteins and 8 different vegetable ingredients that effectively nourish your hair. Cares your damaged skin with refreshing scent and texture.,Hair Care,a076a663f1e909f50b9616988e02618b
"A light moisturising shampoo that gives your hair brilliant shine! The special shine-enhancing formula of the shampoo locks leaves the hair deeply cleansed and luminous, resulting in silky hair. A moisturizing conditioner that gives your hair brilliant shine! This special shine-enhancing, 30-second smoothening conditioner locks moisture in, leaving the hair silky and smooth. Wella Professionals brings to you the first precious oil collection hair conditioner that is enriched with the goodness of Camellia oil and White Tea extract delivering intense moisture to reveal soft, luscious locks from root to tip.",Hair Care,b37d6e8129815697173d31d053f3b08d
"Using A Lot Of Chemicals Can Damage Your Hair And Lead To Breakage. Go The Natural Way And Care For Your Hair With This Safe Parvati Khadi Herbal Green Apple Shampoo And Conditioner. Made Using Purely Herbal Extracts, The Mild Shampoo Is Suitable For Use On All Hair Types And By Everyone Suffering From Dandruff. This Parvati Khadi Herbal Green Apple Shampoo And Conditioner Contains Amla Which Has Been Used For Years As A Perfect Agent To Stop Greying And Dandruff, Reetha Which Is A Natural Cleanser And Green Apple To Give Your Hair All The Nourishment And Conditioning It Needs. The Khadi Herbal Green Apple Shampoo Contains Almond Oil And Does Double Duty By Cleansing And Conditioning Your Hair At The Same Time. Just Lather On This Green Apple Shampoo And Conditioner And Get Soft, Manageable Hair In An Instant.",Hair Care,58748c823f6c7a627f07963a5fa77cf9
Ryoe korean herbal anti hairloss damaged hair shampoo conditioner. Each is of 500ml.,Hair Care,a2d16660b9e3bebf1c9b62091c352503
"All our oils are fresh and bottled daily. Expiration date is at least 12 month from sale date Organic Ingredients:100% Pure African Shea Oil Karite Botanical Name: Butyrospermum parkii Extraction Method: Cold Pressed Color: Pale yellow to Golden yellow Liquid Aromatic Description: Typical and Characteristic of Carrier Oils What African Shea Oil Does: This powerful skin treatment is made of Shea butter from the West African Karite tree, which means “tree of life” The nourishing quality of African Shea Oil restores balance and tone while improving elasticity. Made by West African for generations, this miracle oil has only recently hit the worldwide marketplace. The fatty acids in African Shea Oil stimulate cell growth and heal damage. This treatment can be used toa variety of skin conditions and to maintain healthy, nourished skin. Shea Oil is a good choice for inclusion in baby care, sun care, lip care and hair care products. Shea Oil can be blended with shea butter to soften it for direct skin application.",Hair Care,b88fca4d731e15460a86c9414750cd43
"Khadi Herbal Amla & Bhringraj Shampoo is the extracts of Amla, Reetha, Bhringraj, Haritaki, Henna and Neem contained in this shampoo makes the hair lustrous, healthy and manageable. Ingredients: Amla, Almond Oil, Bhringraj, Harathki, Henna, Citric Acid, Glycerine, Aqua, Neem Oil. Applicare: Wet hair, take shampoo according to hair length, massage all over scalp & entire hair length. Rinse off.",Hair Care,82bb44ea96d9d37d8c1ddf1854c12388
Pro Botanix Colour Protect Shampoo comes in a 1000 ml Bottle. Lends a nice shine to your hair.,Hair Care,47c1906feef08c0be4003c0503062e2f
"Nourish your hair using Dabur Anmol Gold Pure Coconut Oil regularly. - Enriched with the goodness of coconut and vitamin E, this oil promotes hair growth and brings back the volume of your hair. - Regular use of this oil prevents unnatural hair damage caused by the extremities of weather. - On the other hand, this oil also minimizes hair fall and inhibits premature greying of hair. - Besides, this oil releases your stress and promotes sleep when massaged thoroughly on your scalp. - It will give your hair rich and glossy look that you will love to flaunt",Hair Care,0eb87a076ed57426db6a9bc4dc7ca23b
"Signature Club A by Adrienne Precious Moroccan Argan Oil & Pomegranate Shampoo/Conditioner, 8 fl oz",Hair Care,65a188eefb2e08ccd12fb28cb050673f
"Tame unruly and rebellious hair and achieve manageable smooth strands with the Grape and Honey Softening and Smoothing Shampoo. Fused with organic grape seed oil and organic honey, this shampoo locks in moisture deep within your hair follicles. The result is hair that is smoother and softer for longer without a heavy greasy feel. This shampoo is suitable for all hair types. HOW TO USE Apply shampoo to damp hair, lather and rinse thoroughly. Repeat again if necessary. Follow with the Organic Shop Grape and Honey Softening and Smoothing Conditioner. INGREDIENTS Aqua, Sodium Coco-Sulfate, Lauryl Glucoside, Coco-Glucoside, Glyceryl Oleate, Mel*, Vitis Vinifera Seed Oil*, Hydrolyzed Wheat Protein, Glycerin, Sodium Chloride, Parfum, Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate, Dehydroacetic Acid, Tocopherol, Citric Acid. Preserved with Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate, Dehydroacetic Acid.",Hair Care,40615b94a65df5dd5038f1a8fa3ea693
Cantu Oil Anti-Break Strengthening - Inca Inchi 4 Oz. - Reinforces Weak Strands. No Mineral Oil. No Silicones,Hair Care,5621c294406988a56e99897a8081ebfc
Redken Extreme Anti-Snap Leave-In Treatment 8.1 oz.,Hair Care,43c706d5a1e057d77eb11d69ad3271eb
Bumble and Bumble Let It Shine Conditioner 250ml/8.5oz,Hair Care,434b6bd161ba27a9e3e3ac1622eb8cbf
"Shagun Gold Brown henna is a natural way of coloring hair and nourishing scalp with natural ingredients such as indigo powder, amla powder, henna powder, shikakai powder, bhilawa powder, hibiscus powder. It is an ideal way of coloring hair with the goodness of nature as all the ingredients are grown and seasonally. This brown henna will leave a warm hue of brown on the hair; depending upon the texture or base color. However, our natural henna is completely free from the content of ammonia, PPD or any other chemical.",Hair Care,a807fa3aad0028571182a737c4ec141f
"Net Contains : 500ml Neem oil is a Naturally Occurring Pesticide found in seeds from the neem tree. It is yellow to brown, has a Bitter taste, and a Garlic/Sulfur smell. While it doesn’t sound very attractive, neem oil can be very beneficial by providing an all natural pesticide that controls both pests and diseases. Loaded with nutrients, neem oil is also used in natural skin care products because it contains high levels of antioxidants that help protect the skin from environmental damage. Neem also helps fight free radical damage in the skin because it contains Carotenoids, which provide high antioxidant compounds. As a result, cold-pressed neem oil and neem extracts are widely used in cosmetics such as soap, Hair products, Cosmetics, Hand creams and Pet shampoos. Neem oil is usually comprised of a mixture of components. Azadirachtin is the most active component and is used for repelling and killing pests. After the extraction of azadirachtin, the portion left over is called clarified hydrophobic neem oil. As reported by Current Science, it works as an effective non-toxic insect control agent to agriculture. Since neem is also especially high in important fatty acids and vitamin E and can quickly penetrate outer layers of skin, it is extremely effective in healing dry and damaged skin. Benefits:  It works as an effective non-toxic insect control agent to agriculture.  Helps fight free radical damage in the skin  Loaded with nutrients  Promotes healing of wounds  Good for pets to relieve itchy conditions  Treats mange when mixed with Karanjin Oil.  Insecticidal used in Agriculture also",Hair Care,2082c2ebaa89981dacad6b7eab7a0298
Thicker Fuller Hair Instantly Thick Serum 5oz. Cell-U-Plex,Hair Care,2a3f443dbf687f786176aee09445c6d7
"From acne to dry skin, from wrinkles to sunburn, whatever be the problem, grapeseed oil is the best solution. Regular use of grapeseed oil makes the skin soft and supple while strengthening and fortifying the skin.",Hair Care,a08b5c8e58250b78924d1cf9f01d555e
"This Shampoo and Conditioner system, infused with authentic Moroccan argan oil, gently cleanses while making hair brilliantly shiny. Moroccan argan oil is a lightweight miracle oil that absorbs instantly and is known to give brilliant shine and long lasting conditioning benefits.",Hair Care,6d9f521c7eb0c0689441ec44bab62cb3
"Argan Oil from Morocco Repairing Deep Conditioner. HASK Argan Oil Intense Deep Conditioning Treatment with Keratin, is a super strengthening, hydrating treatment that will restore and smooth dry, damaged, chemically treated or over processed hair.",Hair Care,3111857ae9afd7607eaa7228f479974a
Fast-absorbing treatment for fine and thinning color-treated hair energizes the scalp and provides a healthy scalp environment to improve the appearance of thinning hair.,Hair Care,06eadbde48dff2e6333c60a262204400
"For best results use daily. Wet hair, massage into scalp, rinse. Repeat if desired.",Hair Care,7af3541a9fbf9d0ff72af0163109af0f
"Reap the benefits of shikakai, the oldest remedy and essential hair care element and enjoy hair that is so gorgeous and healthy, you can’t stop touching. Anti Dandruff and Hair fall The shampoo fights dandruff and hair fall, both problems that most people face during climate change. The shikakai spreads sufficient nutrition to your hair fibre to fight the effects of temperature and other elements that lead to weaker hair and other hair problems. Rejuvenates, Promotes Health and Vitality Shikakai ensures that your hair is supplied a rich base of nutrition that will rejuvenate hair from its previous state, the shampoo also will promote health and vitality so you flaunt locks that cause envy around the block. Natural Tonic The shampoo brings a natural tonic in its formulation that has for years been a home remedy for great hair so all you have to do is regularly wash your hair with this shampoo and you will be left with quicker hair growth. Improves Scalp Conditions The efficient formulation keeps your scalp cleansed and revitalized so your hair is provided a clean and healthy base to grow on. Prevents Hair Damage When every aspect that builds your hair up is provided utmost care, all signs of hair damage will be reduced but the nurture and health of your hair will stay better than ever.",Hair Care,45116b9eb11764794c4270adcaabbf6f
"Khadi Pure Gramodyog Herbal Orange Lemongrass Hair Conditioner is enriched with pure natural vitamin e oil, anti oxidants and essential oils for hair. It penetrates and seals the cuticle to fill the hollow unwanted cores of damaged lifeless and brittle hair. This moisturizing conditioner makes your hair naturally soft, silky, strong and shiny. Ingredients: Aqua, Citrus Sinensis (Orange), Aloe Vera (Ghrita-Kumari), Centella Asiatica (Mandukaparni), Glycyrrhiza Glabra (Mulethi), Trachyspermum Ammi (Ajwain ), Citrus Limon (Nimbaka), Cymbopogon Citratus(Lemongrass), Wheat Germ Oil. Applicare: After shampoo apply on entire hair length especially at the edges. Wait for a few minutes. Rinse thoroughly. Contents: 210ml Bottle.",Hair Care,909725aa72c54c34c04392e43e629269
Parachute Coconut hair oil brings to you the natural goodness of coconut. The essential purity makes Parachute Coconut hair oil a premium hair oil. Soaking bottle in hot water can liquefy the oil.,Hair Care,a5ef86d5def213b9a130e7bb11ec1d60
"Shea Moisture Jamaican Black Castor Oil Strengthen and Restore Conditioner By Shea Moisture for Unisex - 3.2 Oz Co, 3.2 Ounce",Hair Care,69b2ea94ded8fb27276cc5d5459041b1
Racine Hair lotion suitable for all hair types,Hair Care,8053075ba63746703f5318eac2652a8d
The best way to color your hair naturally is by using 100% pure mehendi powder. Henna has natural antifungal and antimicrobial properties that work to cool and soothe your scalp while giving it a natural tint. Our premium mehendi powder is made from pure henna leaves which are ground to perfection that will leave your hair moisturized and nourished,Hair Care,20ed2a0617af4e364f4b3a122b2f9fd1
"Botanical Name: Lawsonia Inermis Liberty International Organic Henna powder is excellent for dyeing hair. It gives rich reddish tone to hair and can be used with Indigo Powder for brown to black shades. Henna can be quite cooling to the scalp. This, in combination with its antimicrobial properties, helps maintain scalp health. It helps fight off scalp conditions like dandruff. It is also an excellent ingredient for balancing oil production and the pH of your scalp. It removes the excess oil from your hair, helping unclog follicles, and also restoring normal functioning of the sebaceous glands. The boosted scalp health, unclogging of pores, and balanced pH levels put a stop to hair loss and promote healthy hair growth. Not only will henna help your hair grow faster, but it will also improve hair texture. The nutrients in henna help nourish your hair while also repairing the damage. The balancing of the pH levels also helps seal the hair cuticle, leading to locks that are more lustrous. This helps improve hair elasticity. Henna builds a protective barrier around each one of your hair shafts, locking in moisture and keeping your hair conditioned. It can be especially beneficial when used in hair packs in combination with other hydrating ingredients. Henna helps minimize issues such as hair breakage and split ends.The product is processed under Organic Certifed processing facility and then packed in Food grade consumer packs under hygienic environment. we ensure that only fresh batches of products are packed. Note: The recipes given here are our suggestion only. This information has not been evaluated by Food and Drug Administration. This information is not intended to diagnose, cure, treat or prevent any disease, Please consult an expert before use.",Hair Care,071802b72fb67adb66165cfe34817fcd
###############################################################################################################################################################################################################################################################,Hair Care,ea8e32e93a96e2b2f1d5741d7e421b83
"This stimulating shampoo cream is the perfect complement for anti-hair loss treatments. It restores volume, strength and vitality to your hair and can be used as often as needed. Ducray Advantage : Stronger, more resistant hair 88%. Pleasant fragrance for 95% of users. Easy to apply: 90%. Ingredients Water (Aqua), Sodium Laureth Sulfate, Peg-7 Glyceryl Cocoate, Distearyl Phthalic Acid Amide, Polysorbate 20, Coco-Glucoside, Lauryl Betaine, Ceteareth-60 Myristyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol, Biotin, Citronellol, Dmdm Hydantoin, Fragrance (Parfum), Magnesium Aluminum Silicate, Methylisothiazolinone, Panthenol, Pantolactone, Polyquaternium-7, Pyridoxine Hcl, Ruscus Aculeatus Root Extract, Sodium Benzoate, Sodium Chloride, Sodium Hydroxide, Sodium Polynaphthalenesulfonate, Tocopheryl Nicotinate, Zinc Pyrithione. How to use product Apply first to damp hair. Lather. Rinse. Reapply by massaging the scalp for 2 to 3 minutes. Rinse thoroughly. To be used as often as needed",Hair Care,e9ce42f26e89ada69c2b24190eaef520
Deva,Hair Care,4f683a8904c34217511cb2c7b47d5700
Double Hathi Deluxe Mehendi,Hair Care,1a150cecde6297835d99203b24bfa852
"Difeel Premium Rejuvenating Hair Mask - Caviar 1.75 oz. (6-PACK) - for Lifeless Dull & Damaged Hair, Leaves Hair Lavish & Silky, Works to Smooth Frizz",Hair Care,f0af3d54bb40867554e8d3a8eb6a5572
Bandai,Hair Care,80cc0999e12456bf15b7845447439ddb
Hi-Pro-Pac Conditioner For Permed Formula 8 oz / 237 ml,Hair Care,9e3074f6b6dffad034beda178b3f80e9
"Size:3-Pack The package contains three containers of one 3.5 oz, 10.5 oz in total, of Meera Hair Wash Powder, which is a healthy and traditional method of shampooing your hair. The Powder is made from natural ingredients that nurture and protect the hair making it soft and healthy. Meera powder is a blend of flowers and herbs such as shikakai, green gram, tulsi, vetiver and reetha which cleanse the hair, leaving it fresh and shiny. The powder also contains Hibiscus and Fenugreek which act as deep conditioners and strengthen each strand of hair from the root to the tip.",Hair Care,664482f498128c19b217bb1a56cfb613
"Kerastase Bain Force Architecte shampoo is a brilliant reconstructing shampoo that replenishes and strengthens the hair fibre over time. Just imagine what your hair has to go through over time, blow dries, chemical processes and much more. No wonder, these factors can contribute to hair breakaging, split ends and dull hair.",Hair Care,109b822e157e44e2b5487b3f8ed8f778
"Inspired by the no pow (no shampoo) method used in the united states, the low shampoo is a new way to wash the hair. Switch your classic shampoo with a hair care enriched in 99% botanical cleansing agents. It's the new trend in the daily hair care routine. Let yourself be surprised by its new formula which does not foam. This delicate cleansing cream with organic hawthorn extracts protects the integrity of the hair fibre even used daily.",Hair Care,600494082bc9926d9dbc4b57d2abe4b8
"See a full head of hair in 30 seconds. Toppik is made of all-natural coloured keratin protein. Toppik fibers blend undetectably with your existing hair, instantly making it full and thick. Toppik fiberhold spray is a fine mist made to strengthen the bond between Toppik hair fibers and your existing hair, producing longer-lasting results. Toppik fiberhold spray is the perfect finishing step after applying hair fibers for natural-looking shine.",Hair Care,4fb246fc32aa6ad0e1cc8963975f6cef
"It protects and nourishes hair for the hair color to stay vibrant. Combination of natural ingredients like juvexin, aloe vera and natural flower seed oils lock color in longer to fight fade-out and penetrate deep to nourish damaged hair and make it shinier. This color shield conditioner unleashes the significant hair essentials such as the color protection, uv and uva shield and juvexin, which defy the true identity of healthy hair and healthy maintenance for the hair color.",Hair Care,5baa4c6575d74a6b48b94cabfaa0da8f
"Avon Beyond Color Lip Conditioner SPF 15. Instantly lips feel softer, smoother and firmer. Colorless to wear alone or under lip color",Hair Care,6b661d67f9a314a4d2a03b7804126fee
"Color:Aloe and Citrus This conditioner by bio creative lab utilizes the moisturizing and soothing properties of certified organic aloe vera together with the gentle, cleansing effects of certified organic citrus to leave hair feeling silky smooth and soft while leaving the scalp feeling energized and invigorated. Hair will look restored, refreshed and rejuvenated",Hair Care,84f098e4dcec6173b9cb498b8801c86b
"DR BATRA HAIR FALL CONTROL COMBO KIT - Hair fall control shampoo - contains watercress and Indian cress that makes hair stronger and stimulates hair growth, whereas Thuja stimulates the hair growth and controls hair fall. Hair Oil - oil contains tulsi, brahmi and thuja are the main contents. Where the tulsi stimulates the proliferating cells in the hair root to boost growth. Brahmi strengthens hair roots and thuja a good DHT inhibitor, balances the scalp oil production by improving blood circulation.",Hair Care,30b999bb69cb81cc7607d8a45c7f048c
